,问题,A,B,C,D,E,F,G,答案
0,用万用表测电阻时应注意的事项有（）。,不可带电测试,测前在Ω档将表笔短接用“Ω调零器”调整零位，如调不到零位则可能要换电池,眼睛正视表盘读数以减少视差,测试是应注意表针的正负极性，防止极性接反带来附加误差,,,,ABC
1,电工仪表按准确等级分有（）。,1.0,2.0,3.0,4.0,,,,ABC
2,电工仪表按相别分类有（）。,单相,二相,三相三线,三相四线,,,,ACD
3,电工仪表按测量对象分类有（）。,电流表,气压表,欧姆表,接地电阻测量仪,,,,ACD
4,库房环境“三防”措施有哪些具体内容（）,定期打扫,定期盘库,通风,空调控制湿度。,,,,ACD
5,以下（）场所必须使用铜芯线。,易燃、易爆场合。,重要的建筑，重要的资料室、档案室、库房。,人员聚集的公共场所、娱乐场所、舞台照明。,计量等二次回路。,,,,ABCD
6,供电企业应当按照（）向用户计收电费。,国家核准的电价,地方政府规定的电价,供电企业规定的电价,用电计量装置的记录,,,,AD
7,电力生产与电网运行应当遵循的原则是（）。,安全,优质,经济,可靠,,,,ABC
8,电力供应与使用双方应当根据（）原则，按照国务院制定的电力供应与使用办法签订供用电合同，确定双方*的权利和义务。,平等互利,利益共享,平等自愿,协商一致。,,,,CD
9,对同一电网内的（）用户，执行相同的电价标准。,同一电压等级,同一用电类别,同一地区,同一装表。,,,,AB
10,在直流电路中（　）。,电流的频率为零,电感的感抗为零,电容的容抗为零,电容的容抗为无穷大,,,,ABD
11,三相交流电具有以下特性（　）。,频率相同,电动势振幅相等,相位互差120°角,电流相等,,,,ABC
12,下列关于电压的的定义正确的是（　）。,在交流电路中，每相与中性线之间的电压称为相电压,在三相交流电路中，相与相之间的电压称为相电压,在三相交流电路中，相与相之间的电压称为线电压,在交流电路中，每相与零线之间的电压称为线电压,,,,AC
13,使用钳型电流表进行测量时，应注意的有（）。,使用钳型电流表前，先应注意其测量档位，使其指针正确指示，不能使指针过头或指示过小,可以同时钳住两根绝缘导线或多根绝缘导线,测量时铁芯钳口要紧密闭合，被测导线尽量置于孔中心，以减小测量误差,要保持安全距离，不得造成相间短路或接地，烧坏设备或危及人身安全,,,,ABCD
14,在带电的低压线路上挑火和搭火时，应注意（）。,选好工作位置,分清相线和地线,挑火时，先挑相线，再挑零线,搭火时，先搭零线，再搭相线,,,,ABCD
15,使用活络扳手时，要注意（）。,应按螺母大小选用适当大小的扳手,扳动大螺母时，手应握在手柄尾部,活络扳手可反方向使用,不得当撬棒或锤子使用,,,,ABD
16,进户线产权及维护管理是按（）划分的。,进户线工作包括进户点、进户杆、进户线、进户管理,进户线与接户线接头处属于责任分界点，从搭头起到用户内部的配电装置属用户设备，由用户负责保管,总熔丝盒及电能计量装置，属供电公司设备，并由其负责维护管理,总熔丝盒及电能计量装置，属客户设备，并由其负责维护管理,,,,ABC
17,绝缘材料有的性能指标是（）。,绝缘强度,抗张强度,比重,膨胀系数,,,,ABCD
18,电力线缆长期过载运行，其后果是（）。,导线伸长弧垂增大，引起对地安全距离不合格，风偏角也加大,导线截面变小或发生断股，使导线拉断力减弱,接头接触电阻变大，发热甚至烧坏造成断线,线路电能损耗增大,,,,ABCD
19,编写二次线头的号排的要求为（）。,首先认清每个设备的安装单位的安装编号或元件的代表符号,本线头应编写本线头另一端的安装单位的编号或元件代表符号及元件的接线端子号码,认清每个安装单位或元件接线端子的顺序号码,计量回路的端子排组应用空端子排与其他回路的端子排隔开,,,,ABC
